course_basic_id,prereq_ID
40101211,
41101051,41100671
45103291,
41100341,41100671
45100391,
45100011,
45101215,
52100842,52100012
31101761,
45100831,
45101443,
6100151,
45101451,
45100452,
45103281,
31101551,
31101331,
24100152,
52100332,
40100401,
44101382,
31101371,
45103281,
45100742,
45102813,
45100162,45101571
45100701,
45102141,45101215
52100062,52100842
45102941,
45102961,
40100641,40101211
31101661,
45102831,45100162
45103021,
24100162,24100152
45103241,
45103161,
40100023,
41101151,40101211
45100122,45100162
45101052,
45101681,45100162
52100012,52100332
45102851,
45103231,
6100112,
44102453,44101382
45100892,
45103091,45100452
45102841,
41100671,
31101522,31101551
45101571,45103091
31101424,
31102141,
31101741,31101761